,horizon,mse,rmse,mae,mape,coverage
351,47 days 00:00:00.000000000,51.07382326018637,7.146595221515374,5.639542730596429,0.14972538492044438,0.45089285714285715
31,48 days 00:00:00.000000000,51.075484028351816,7.1467114135350265,5.640425735117616,0.14978323415113942,0.45089285714285715
1956,48 days 00:00:00.000000000,51.11821734206411,7.149700507158612,5.646599314715568,0.1498724550169765,0.45089285714285715
672,48 days 00:00:00.000000000,51.682041180539635,7.189022268746957,5.692631997428327,0.15140971866554231,0.44642857142857145
993,48 days 00:00:00.000000000,52.414975937594036,7.239818777952528,5.730993043363786,0.15206945518982412,0.44642857142857145
352,48 days 00:00:00.000000000,53.02196132310111,7.281618042928447,5.760643112675715,0.1530191422065472,0.44642857142857145
353,49 days 00:00:00.000000000,53.58490736396344,7.320171266026734,5.787942573133142,0.15391938671254365,0.44642857142857145
673,49 days 00:00:00.000000000,53.8471946315395,7.338064774280716,5.812311959522829,0.15470743790826144,0.4419642857142857
32,49 days 00:00:00.000000000,53.76315814603417,7.332336472505484,5.796250449132686,0.15451260634571756,0.44642857142857145
1634,49 days 00:00:00.000000000,53.75453396551868,7.3317483566690065,5.791978801515545,0.15420952191832787,0.44642857142857145
1957,49 days 00:00:00.000000000,53.78652893578906,7.333929978925968,5.7976985475075375,0.1543106487299886,0.44642857142857145
33,50 days 00:00:00.000000000,53.74628702680798,7.331185922264417,5.78747989396729,0.15424420879847153,0.44642857142857145
1958,50 days 00:00:00.000000000,53.83170297989143,7.337009130421703,5.798838399683896,0.1544507203631436,0.4419642857142857
354,50 days 00:00:00.000000000,54.25421596848143,7.365746124357086,5.819078951003867,0.1551979885015746,0.4419642857142857
1635,50 days 00:00:00.000000000,54.228248557662944,7.363983199170334,5.809744606770508,0.1549794802800725,0.4419642857142857
1313,50 days 00:00:00.000000000,55.077374805019204,7.4214132619750535,5.8620899953983505,0.15626145614404,0.4375
1636,51 days 00:00:00.000000000,54.93776824267686,7.41200163536658,5.840576005016035,0.15549717145894112,0.4419642857142857
1314,51 days 00:00:00.000000000,55.9647736413582,7.480960743203924,5.900478608348257,0.15709678264766438,0.4375
1959,51 days 00:00:00.000000000,55.76432095194696,7.467551201829617,5.886452211052507,0.15677145532801307,0.4375
994,51 days 00:00:00.000000000,56.761195218125685,7.534002602742163,5.952061776145915,0.15836752603930956,0.4330357142857143
34,51 days 00:00:00.000000000,56.37537233181207,7.508353503386217,5.914456497911177,0.1576400413080414,0.4375
1960,52 days 00:00:00.000000000,56.381086732699565,7.508734029961347,5.914991880030614,0.15736822050887975,0.4375
1315,52 days 00:00:00.000000000,57.222691466504365,7.564568161270302,5.966848508718786,0.1587146368873648,0.4330357142857143
674,52 days 00:00:00.000000000,57.5105055386782,7.583568127120518,6.001256979167286,0.15972700908265494,0.42857142857142855
1637,52 days 00:00:00.000000000,57.509960696278526,7.583532204472961,6.001078534306819,0.1597794195772511,0.42857142857142855
995,52 days 00:00:00.000000000,58.69830554570954,7.661481941877142,6.053335718478372,0.16090878976513137,0.42857142857142855
996,53 days 00:00:00.000000000,59.80587349093281,7.733425728028479,6.11545232186358,0.16219692978156383,0.42410714285714285
1316,53 days 00:00:00.000000000,60.70741956080161,7.791496618801911,6.16813061577899,0.16354510059511718,0.41964285714285715
1638,53 days 00:00:00.000000000,60.718490081466435,7.79220700966462,6.174513746379856,0.16372261922929107,0.41964285714285715
355,53 days 00:00:00.000000000,61.47756748661647,7.84076319541768,6.228032469925514,0.16521049503905508,0.41517857142857145
675,53 days 00:00:00.000000000,61.624456765486684,7.850124633754975,6.245285174809552,0.1657272384643246,0.4107142857142857
997,54 days 00:00:00.000000000,62.659314425103176,7.915763666577166,6.306535730285347,0.16701014865440375,0.40625
356,54 days 00:00:00.000000000,63.33684469161096,7.95844486640518,6.341971091538606,0.16779916555153118,0.40625
35,54 days 00:00:00.000000000,63.30634016556595,7.956528147726617,6.3328028322697865,0.16762217577801092,0.40625
676,54 days 00:00:00.000000000,63.36021924851551,7.95991326890661,6.3402999400794595,0.16779492558412715,0.4017857142857143
1317,54 days 00:00:00.000000000,64.59535975213382,8.03712384825155,6.413718431296141,0.16975298446685924,0.39732142857142855
1961,55 days 00:00:00.000000000,64.27633672508391,8.017252442394708,6.394581718830674,0.1692658323929379,0.39732142857142855
357,55 days 00:00:00.000000000,65.06849815554651,8.066504704985084,6.432911652167697,0.17008208107936107,0.39732142857142855
677,55 days 00:00:00.000000000,65.17859310514497,8.07332602495062,6.449538988223695,0.17033822715739053,0.39285714285714285
998,55 days 00:00:00.000000000,66.26950047242688,8.140608114411778,6.5016472851202325,0.17154739203009767,0.39285714285714285
36,55 days 00:00:00.000000000,66.2648305251975,8.140321278991236,6.498673642321227,0.17153775726427017,0.39285714285714285
1639,56 days 00:00:00.000000000,66.27799965421849,8.14113012144005,6.502686132407196,0.17169847518766626,0.39285714285714285
1962,56 days 00:00:00.000000000,65.97473246245592,8.122483146332526,6.485692814977535,0.17123716995521618,0.39285714285714285
358,56 days 00:00:00.000000000,67.01386637554458,8.18619975174956,6.548603087293408,0.17271543383761387,0.38839285714285715
678,56 days 00:00:00.000000000,67.06896307493216,8.189564278698358,6.557530840952537,0.17296460257276156,0.38392857142857145
37,56 days 00:00:00.000000000,66.98234260252813,8.184274103579874,6.539407070125437,0.17246631314287347,0.38839285714285715
1318,57 days 00:00:00.000000000,67.58528450078569,8.221026973607719,6.563369617014923,0.17318588559846132,0.38839285714285715
